Medicine name,EML section,Formulations,Indication,ATC codes,Combined with,Status,clean_name,match_aliases
lidocaine,Local anaesthetics,"Parenteral > Locoregional injections > Spinal anaesthesia: 5% in 2 mL ampoule (hydrochloride) + 7.5% glucose solution
Parenteral > Locoregional injections > Other: 1% in vial (hydrochloride); 2% in vial (hydrochloride)
Local > Topical > unspecified: 2 to 4% (hydrochloride)",Local anaesthetics,N01BB02,,Added,lidocaine,['lidocaine']
lidocaine + epinephrine,Local anaesthetics,"Parenteral > Locoregional injections > Other: 1% (lidocaine hydrochloride OR lidocaine sulfate) + 1:200 000 epinephrine in vial; 2% (lidocaine hydrochloride OR lidocaine sulfate) + 1:200 000 epinephrine in vial
Local > Dental > Cartridge: 2% (lidocaine hydrochloride) + 1:80 000 epinephrine",Local anaesthetics,N01BB52,,Added,lidocaine + epinephrine,"['lidocaine + epinephrine', 'lidocaine', 'epinephrine', '+']"
linezolid,Reserve group antibiotics,"Parenteral > General injections > IV: 2 mg per  mL in 300 mL bag
Oral > Liquid: 100 mg per 5 mL powder for oral liquid
Oral > Solid: 400 mg tablet; 600 mg tablet
Oral > Solid > dispersible tablet: 150 mg
Oral > Solid > tablet: 600 mg",Methicillin resistant Staphylococcus aureus,J01XX08,,Added,linezolid,['linezolid']
linezolid,Reserve group antibiotics,"Parenteral > General injections > IV: 2 mg per  mL in 300 mL bag
Oral > Liquid: 100 mg per 5 mL powder for oral liquid
Oral > Solid: 400 mg tablet; 600 mg tablet
Oral > Solid > dispersible tablet: 150 mg
Oral > Solid > tablet: 600 mg",Vancomycin resistant Staphylococcus aureus,J01XX08,,Added,linezolid,['linezolid']
linezolid,Reserve group antibiotics,"Parenteral > General injections > IV: 2 mg per  mL in 300 mL bag
Oral > Liquid: 100 mg per 5 mL powder for oral liquid
Oral > Solid: 400 mg tablet; 600 mg tablet
Oral > Solid > dispersible tablet: 150 mg
Oral > Solid > tablet: 600 mg",Vancomycin resistant Enterococcus,J01XX08,,Added,linezolid,['linezolid']
linezolid,Antituberculosis medicines,"Oral > Solid > dispersible tablet: 150 mg
Oral > Solid > tablet: 600 mg",Multi-drug resistant Mycobacterium tuberculosis,J01XX08,,Added,linezolid,['linezolid']
lisinopril + amlodipine,Antihypertensive medicines,Oral > Solid: 10 mg + 5 mg; 20 mg + 5 mg; 20 mg + 10 mg,Essential hypertension,C09BB03,,Added,lisinopril + amlodipine,"['amlodipine', 'lisinopril + amlodipine', 'lisinopril', '+']"
lisinopril + hydrochlorothiazide,Antihypertensive medicines,Oral > Solid: 10 mg + 12.5 mg; 20 mg + 12.5 mg; 20 mg + 25 mg,Essential hypertension,C09BA03,,Added,lisinopril + hydrochlorothiazide,"['lisinopril + hydrochlorothiazide', 'hydrochlorothiazide', 'lisinopril', '+']"
lithium carbonate,Medicines for bipolar disorders,Oral > Solid: 300 mg,Bipolar or related disorders,N05AN01,,Added,lithium carbonate,"['lithium', 'lithium carbonate', 'carbonate']"
long-acting insulin analogues,Insulins,Parenteral > General injections > SC: 100 IU per  mL in 3 mL cartridge; 100 IU per  mL in 3 mL pre-filled pen,Type 1 diabetes mellitus,"A10AE06, A10AE05, A10AE04",,Added,long-acting insulin analogues,"['analogues', 'insulin', 'long-acting insulin analogues', 'long-acting']"
long-acting insulin analogues,Insulins,Parenteral > General injections > SC: 100 IU per  mL in 3 mL cartridge; 100 IU per  mL in 3 mL pre-filled pen,Type 2 diabetes mellitus,"A10AE06, A10AE05, A10AE04",,Added,long-acting insulin analogues,"['analogues', 'insulin', 'long-acting insulin analogues', 'long-acting']"
loperamide,Medicines for other common symptoms in palliative care,Oral > Solid > dosage form: 2 mg,Palliative care,A07DA03,,Added,loperamide,['loperamide']
lopinavir + ritonavir,Antiretrovirals > Protease inhibitors,"Oral > Solid > tablet: 100 mg + 25 mg tablet (heat-stable); 200 mg + 50 mg tablet (heat-stable)
Oral > Solid > dosage form: 40 mg + 10 mg","Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified",J05AR10,,Added,lopinavir + ritonavir,"['+', 'ritonavir', 'lopinavir + ritonavir', 'lopinavir']"
loratadine,Antiallergics and medicines used in anaphylaxis,"Oral > Liquid: 1 mg per  mL
Oral > Solid: 10 mg",Allergic or hypersensitivity conditions of unspecified type,R06AX13,,Added,loratadine,['loratadine']
lorazepam,Antiseizure medicines,Parenteral > General injections > IV: 2 mg per  mL in 1 mL ampoule; 4 mg per  mL in 1 mL ampoule,Status epilepticus,N05BA06,,Added,lorazepam,['lorazepam']
lorazepam,Medicines for anxiety disorders ,,Anxiety,,,Added,lorazepam,['lorazepam']
losartan,Antihypertensive medicines,Oral > Solid: 25 mg tablet; 50 mg tablet; 100 mg tablet,Essential hypertension,C09CA01,,Added,losartan,['losartan']
losartan,Medicines used in heart failure,Oral > Solid: 25 mg tablet; 50 mg tablet; 100 mg tablet,Heart failure,C09CA01,,Added,losartan,['losartan']
lovastatin,Lipid-lowering agents,,Mixed hyperlipidaemia,,,Added,lovastatin,['lovastatin']
lovastatin,Lipid-lowering agents,,Coronary atherosclerosis,,,Added,lovastatin,['lovastatin']
lugol's solution,Thyroid hormones and antithyroid medicines,Oral > Liquid: 13% w/v (about 130 mg/mL total iodine),Thyrotoxicosis,H03CA,,Added,lugol's solution,"['solution', ""lugol's solution"", ""lugol's""]"
magnesium sulfate,Antiseizure medicines,"Parenteral > General injections > IV: 500 mg per  mL in 2 mL ampoule (equivalent to 1 g in 2 mL; 50% weight/volume)
Parenteral > General injections > IM: 500 mg per  mL in 10 mL ampoule (equivalent to 5 g in 10 mL; 50% weight/volume)",Severe pre-eclampsia,B05XA05,,Added,magnesium sulfate,"['magnesium sulfate', 'magnesium', 'sulfate']"
magnesium sulfate,Antiseizure medicines,"Parenteral > General injections > IV: 500 mg per  mL in 2 mL ampoule (equivalent to 1 g in 2 mL; 50% weight/volume)
Parenteral > General injections > IM: 500 mg per  mL in 10 mL ampoule (equivalent to 5 g in 10 mL; 50% weight/volume)",Eclampsia,B05XA05,,Added,magnesium sulfate,"['magnesium sulfate', 'magnesium', 'sulfate']"
mannitol,Diuretics,Parenteral > General injections > IV: 10% solution; 20% solution,Ocular hypertension,B05BC01,,Added,mannitol,['mannitol']
mannitol,Diuretics,Parenteral > General injections > IV: 10% solution; 20% solution,Cerebral oedema,B05BC01,,Added,mannitol,['mannitol']
measles vaccine,Recommendations for all immunization programmes,All vaccines should comply with the WHO requirements for biological substances.,Need for immunization against measles alone,J07BD01,,Added,measles vaccine,"['measles vaccine', 'vaccine', 'measles']"
mebendazole,Intestinal anthelminthics,Oral > Solid > tablet: 100 mg (chewable); 500 mg (chewable),Ascariasis,P02CA01,,Added,mebendazole,['mebendazole']
mebendazole,Intestinal anthelminthics,Oral > Solid > tablet: 100 mg (chewable); 500 mg (chewable),Enterobiasis,P02CA01,,Added,mebendazole,['mebendazole']
mebendazole,Intestinal anthelminthics,Oral > Solid > tablet: 100 mg (chewable); 500 mg (chewable),Trichuriasis,P02CA01,,Added,mebendazole,['mebendazole']
mebendazole,Intestinal anthelminthics,Oral > Solid > tablet: 100 mg (chewable); 500 mg (chewable),Hookworm diseases,P02CA01,,Added,mebendazole,['mebendazole']
mebendazole,Cysticidal medicines,Oral > Solid > tablet: 100 mg (chewable); 500 mg (chewable),Other specified echinococcosis,P02CA01,,Added,mebendazole,['mebendazole']
medroxyprogesterone acetate,Injectable hormonal contraceptives,"Parenteral > General injections > IM: 150 mg per  mL in 1 mL vial
Parenteral > General injections > SC: 104 mg per 0.65 mL in pre-filled syringe; 104 mg per 0.65 mL in single dose injection delivery system",Contact with health services for reasons associated with reproduction,G03AC06,,Added,medroxyprogesterone acetate,"['acetate', 'medroxyprogesterone acetate', 'medroxyprogesterone']"
medroxyprogesterone acetate,Progestogens,Oral > Solid: 5 mg,Excessive menstruation with irregular cycle,G03DA02,,Added,medroxyprogesterone acetate,"['acetate', 'medroxyprogesterone acetate', 'medroxyprogesterone']"
mefloquine,Antimalarial medicines > For curative treatment,Oral > Solid: 250 mg tablet (hydrochloride),Malaria due to Plasmodium falciparum,P01BC02,,Added,mefloquine,['mefloquine']
mefloquine,Antimalarial medicines > For curative treatment,Oral > Solid: 250 mg tablet (hydrochloride),Malaria due to Plasmodium vivax,P01BC02,,Added,mefloquine,['mefloquine']
mefloquine,Antimalarial medicines > For chemoprevention,Oral > Solid: 250 mg tablet (hydrochloride),Malaria due to Plasmodium falciparum,P01BC02,,Added,mefloquine,['mefloquine']
meglumine antimoniate,Antileishmaniasis medicines,Parenteral > General injections > IM: 1.5 g per 5 mL in 5 mL ampoule,Visceral leishmaniasis,P01CB01,,Added,meglumine antimoniate,"['meglumine antimoniate', 'antimoniate', 'meglumine']"
meglumine antimoniate,Antileishmaniasis medicines,Parenteral > General injections > IM: 1.5 g per 5 mL in 5 mL ampoule,Cutaneous leishmaniasis,P01CB01,,Added,meglumine antimoniate,"['meglumine antimoniate', 'antimoniate', 'meglumine']"
meglumine antimoniate,Antileishmaniasis medicines,Parenteral > General injections > IM: 1.5 g per 5 mL in 5 mL ampoule,Mucocutaneous leishmaniasis,P01CB01,,Added,meglumine antimoniate,"['meglumine antimoniate', 'antimoniate', 'meglumine']"
meglumine iotroxate,Diagnostic agents > Radiocontrast media,Parenteral > General injections > IV: 5 to 8 g iodine (as meglumine) in 100 to 250 mL,"X-ray contrast media, iodinated",V08AC02,,Added,meglumine iotroxate,"['meglumine', 'iotroxate', 'meglumine iotroxate']"
melarsoprol,Medicines for the treatment of 2nd stage African trypanosomiasis,Parenteral > General injections > IV: 3.6% in 5 mL ampoule solution (180 mg of active compound),African trypanosomiasis,P01CD01,,Added,melarsoprol,['melarsoprol']
melphalan,Cytotoxic medicines,"Parenteral > General injections > IV: 50 mg in vial powder for injection
Oral > Solid: 2 mg",Plasma cell myeloma,L01AA03,,Added,melphalan,['melphalan']
meningococcal meningitis vaccine,Recommendations for some high-risk populations,All vaccines should comply with the WHO requirements for biological substances.,Need for immunization against single bacterial diseases,"J07AH01, J07AH02, J07AH03, J07AH04, J07AH05, J07AH06, J07AH07, J07AH08, J07AH09, J07AH10",,Added,meningococcal meningitis vaccine,"['meningococcal meningitis vaccine', 'vaccine', 'meningitis', 'meningococcal']"
mercaptopurine,Cytotoxic medicines,"Oral > Solid: 50 mg tablet
Oral > Liquid: 20 mg per  mL",Acute myeloid leukaemia with recurrent genetic abnormalities,L01BB02,,Added,mercaptopurine,['mercaptopurine']
mercaptopurine,Cytotoxic medicines,"Oral > Solid: 50 mg tablet
Oral > Liquid: 20 mg per  mL","Lymphoid leukaemia, not elsewhere classified",L01BB02,,Added,mercaptopurine,['mercaptopurine']
mercaptopurine,Cytotoxic medicines,"Oral > Solid: 50 mg tablet
Oral > Liquid: 20 mg per  mL",Langerhans cell histiocytosis,L01BB02,,Added,mercaptopurine,['mercaptopurine']
meropenem,Watch group antibiotics,Parenteral > General injections > IV: 500 mg in vial (as trihydrate) powder for injection; 1 g in vial (as trihydrate) powder for injection,Neonatal meningitis,J01DH02,,Added,meropenem,['meropenem']
meropenem,Watch group antibiotics,Parenteral > General injections > IV: 500 mg in vial (as trihydrate) powder for injection; 1 g in vial (as trihydrate) powder for injection,Peritonitis (severe),J01DH02,,Added,meropenem,['meropenem']
meropenem,Watch group antibiotics,Parenteral > General injections > IV: 500 mg in vial (as trihydrate) powder for injection; 1 g in vial (as trihydrate) powder for injection,Peritoneal abscess (severe),J01DH02,,Added,meropenem,['meropenem']
meropenem,Watch group antibiotics,Parenteral > General injections > IV: 500 mg in vial (as trihydrate) powder for injection; 1 g in vial (as trihydrate) powder for injection,Neutropenia (high-risk),J01DH02,,Added,meropenem,['meropenem']
meropenem,Antituberculosis medicines,Parenteral > General injections > IV: 500 mg in vial (as trihydrate) powder for injection; 1 g in vial (as trihydrate) powder for injection,Multi-drug resistant Mycobacterium tuberculosis,J01DH02,,Added,meropenem,['meropenem']
meropenem + vaborbactam,Reserve group antibiotics,Parenteral > General injections > IV: 1 g in vial + 1 g in vial powder for injection,Carbapenem-resistant Pseudomonas aeruginosa,J01DH52,,Added,meropenem + vaborbactam,"['meropenem', 'meropenem + vaborbactam', 'vaborbactam', '+']"
meropenem + vaborbactam,Reserve group antibiotics,Parenteral > General injections > IV: 1 g in vial + 1 g in vial powder for injection,Carbapenem resistant Enterobacterales,J01DH52,,Added,meropenem + vaborbactam,"['meropenem', 'meropenem + vaborbactam', 'vaborbactam', '+']"
meropenem + vaborbactam,Reserve group antibiotics,Parenteral > General injections > IV: 1 g in vial + 1 g in vial powder for injection,Carbapenem resistant Acinetobacter baumannii,J01DH52,,Added,meropenem + vaborbactam,"['meropenem', 'meropenem + vaborbactam', 'vaborbactam', '+']"
mesalazine,Anti-inflammatory medicines,,Crohn disease site,,,Added,mesalazine,['mesalazine']
mesalazine,Anti-inflammatory medicines,,Ulcerative colitis,,,Added,mesalazine,['mesalazine']
mesna,Supportive medicines,"Parenteral > General injections > IV: 100 mg per  mL in 4 mL ampoule; 100 mg per  mL in 10 mL ampoule
Oral > Solid: 400 mg; 600 mg",Osteosarcoma of bone and articular cartilage of other specified sites,V03AF01,,Added,mesna,['mesna']
mesna,Supportive medicines,"Parenteral > General injections > IV: 100 mg per  mL in 4 mL ampoule; 100 mg per  mL in 10 mL ampoule
Oral > Solid: 400 mg; 600 mg",Other specified malignant neoplasms of the ovary,V03AF01,,Added,mesna,['mesna']
mesna,Supportive medicines,"Parenteral > General injections > IV: 100 mg per  mL in 4 mL ampoule; 100 mg per  mL in 10 mL ampoule
Oral > Solid: 400 mg; 600 mg",Germ cell tumour of testis,V03AF01,,Added,mesna,['mesna']
mesna,Supportive medicines,"Parenteral > General injections > IV: 100 mg per  mL in 4 mL ampoule; 100 mg per  mL in 10 mL ampoule
Oral > Solid: 400 mg; 600 mg",Ewing sarcoma of bone and articular cartilage of unspecified sites,V03AF01,,Added,mesna,['mesna']
mesna,Supportive medicines,"Parenteral > General injections > IV: 100 mg per  mL in 4 mL ampoule; 100 mg per  mL in 10 mL ampoule
Oral > Solid: 400 mg; 600 mg",Rhabdomyosarcoma primary site,V03AF01,,Added,mesna,['mesna']
mesna,Supportive medicines,"Parenteral > General injections > IV: 100 mg per  mL in 4 mL ampoule; 100 mg per  mL in 10 mL ampoule
Oral > Solid: 400 mg; 600 mg",Burkitt lymphoma including Burkitt leukaemia,V03AF01,,Added,mesna,['mesna']
mesna,Supportive medicines,"Parenteral > General injections > IV: 100 mg per  mL in 4 mL ampoule; 100 mg per  mL in 10 mL ampoule
Oral > Solid: 400 mg; 600 mg","Malignant neoplasms of kidney, except renal pelvis",V03AF01,,Added,mesna,['mesna']
metformin,Oral hypoglycaemic agents,Oral > Solid: 500 mg (hydrochloride),Type 2 diabetes mellitus,A10BA02,,Added,metformin,['metformin']
methadone,Medicines for opioid use disorders,Oral > Liquid: 5 mg per 5 mL (methadone hydrochloride); 10 mg per 5 mL (methadone hydrochloride); 5 mg per  mL concentrate for oral liquid (methadone hydrochloride); 10 mg per  mL concentrate for oral liquid (methadone hydrochloride),Opioid dependence,N07BC02,,Added,methadone,['methadone']
methadone,Opioid analgesics,"Oral > Liquid: 5 mg per 5 mL (methadone hydrochloride); 10 mg per 5 mL (methadone hydrochloride); 5 mg per  mL concentrate for oral liquid (methadone hydrochloride); 10 mg per  mL concentrate for oral liquid (methadone hydrochloride)
Oral > Solid: 5 mg (methadone hydrochloride); 10 mg (methadone hydrochloride)",Chronic cancer pain,N07BC02,,Added,methadone,['methadone']
methimazole,Thyroid hormones and antithyroid medicines,Oral > Solid: 5 mg; 10 mg; 20 mg,Thyrotoxicosis,H03BB02,,Added,methimazole,['methimazole']
methotrexate,Cytotoxic medicines,"Parenteral > General injections > IV: 50 mg in vial (as sodium salt)
Oral > Solid: 2.5 mg (as sodium salt)
Parenteral > General injections > IV: 50 mg in vial (as sodium salt); 50 mg per 2 mL; 1000 mg per 10 mL concentrated injection","Lymphoid leukaemia, not elsewhere classified",L01BA01,,Added,methotrexate,['methotrexate']
methotrexate,Cytotoxic medicines,"Parenteral > General injections > IV: 50 mg in vial (as sodium salt)
Oral > Solid: 2.5 mg (as sodium salt)
Parenteral > General injections > IV: 50 mg in vial (as sodium salt); 50 mg per 2 mL; 1000 mg per 10 mL concentrated injection",Acute myeloid leukaemia with recurrent genetic abnormalities,L01BA01,,Added,methotrexate,['methotrexate']
methotrexate,Cytotoxic medicines,"Parenteral > General injections > IV: 50 mg in vial (as sodium salt)
Oral > Solid: 2.5 mg (as sodium salt)
Parenteral > General injections > IV: 50 mg in vial (as sodium salt); 50 mg per 2 mL; 1000 mg per 10 mL concentrated injection",Malignant trophoblastic neoplasms of placenta,L01BA01,,Added,methotrexate,['methotrexate']
methotrexate,Cytotoxic medicines,"Parenteral > General injections > IV: 50 mg in vial (as sodium salt)
Oral > Solid: 2.5 mg (as sodium salt)
Parenteral > General injections > IV: 50 mg in vial (as sodium salt); 50 mg per 2 mL; 1000 mg per 10 mL concentrated injection",Burkitt lymphoma including Burkitt leukaemia,L01BA01,,Added,methotrexate,['methotrexate']
